MONTH,AGE,ACTIVITY,LANDUSE,BITE_STATUS
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,1,1,60,1
April,2,1,60,1
April,1,7,62,1
April,1,1,60,1
April,1,5,60,1
April,1,1,60,1
April,2,3,60,1
April,2,2,20,1
April,2,2,20,1
April,3,2,20,1
April,2,1,60,1
April,2,2,20,1
April,2,3,60,1
April,1,1,60,1
April,1,1,60,1
April,2,7,60,1
April,2,2,20,1
April,2,1,60,1
April,1,5,62,1
April,1,1,60,1
April,1,1,60,1
April,2,1,61,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,3,7,62,1
April,2,1,60,1
April,2,1,60,1
April,3,2,20,1
April,2,2,20,1
April,1,3,60,1
April,2,2,20,1
April,2,1,61,1
April,3,1,60,1
April,2,3,60,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,2,20,1
April,3,3,60,1
April,2,2,20,1
April,1,1,60,1
April,2,6,60,1
April,2,1,60,1
April,3,2,20,1
April,2,4,60,1
April,1,5,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,20,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,3,1,60,1
April,1,1,60,1
April,2,5,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,20,1
April,3,1,60,1
April,3,1,60,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,62,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,6,60,1
April,2,2,20,1
April,2,3,60,1
April,2,1,60,1
April,2,2,20,1
April,3,4,62,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,1,3,62,1
April,2,4,60,1
April,2,7,60,1
April,2,1,60,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,2,1,60,1
April,3,2,20,1
April,2,2,20,1
April,2,1,60,1
April,2,2,20,1
April,2,3,60,1
April,2,2,20,1
April,2,1,60,1
April,2,2,20,1
April,1,1,60,1
April,2,4,60,1
April,2,1,60,1
April,2,1,60,1
April,2,6,60,1
April,2,1,60,1
April,2,2,20,1
April,2,3,60,1
April,2,2,20,1
April,2,2,20,1
April,1,4,61,1
April,2,3,60,1
April,2,1,61,1
April,2,2,20,1
April,3,6,60,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,2,1,60,1
April,2,2,20,1
April,2,6,62,1
April,1,1,60,1
April,2,3,60,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,1,3,60,1
April,2,1,60,1
April,2,1,20,1
April,1,7,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,3,60,1
April,3,1,60,1
April,2,1,60,1
April,2,7,61,1
April,2,1,60,1
April,3,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,5,61,1
April,1,3,62,1
April,1,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,5,20,1
April,2,1,60,1
April,3,1,60,1
April,1,1,60,1
April,2,1,60,1
April,1,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,3,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,61,1
April,2,7,60,1
April,1,1,60,1
April,2,7,62,1
April,2,1,60,1
April,1,1,60,1
April,1,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,5,20,1
April,1,1,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,20,1
April,2,1,60,1
April,2,1,60,1
April,2,7,20,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,60,1
April,3,7,60,1
April,2,3,20,1
April,3,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,60,1
April,2,1,61,1
April,2,3,61,1
April,3,1,60,1
April,2,5,60,1
April,3,3,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,3,5,60,1
April,1,1,61,1
April,2,1,60,1
April,2,1,60,1
April,2,1,61,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,2,1,20,1
April,3,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,3,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,62,1
April,2,1,60,1
April,2,5,60,1
April,2,1,60,1
April,2,3,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,3,7,60,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,60,1
April,2,3,60,1
April,2,1,60,1
April,1,3,62,1
April,2,1,60,1
April,2,1,60,1
April,2,3,61,1
April,2,1,60,1
April,3,3,60,1
April,2,3,60,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,1,3,61,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,61,1
April,1,1,60,1
April,3,7,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,1,1,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,3,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,5,62,1
April,2,1,62,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,3,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,5,60,1
April,2,5,61,1
April,2,3,60,1
April,1,7,61,1
April,2,3,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,60,1
April,3,1,60,1
April,2,1,60,1
April,3,1,60,1
April,2,3,60,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,61,1
April,3,1,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,5,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,5,61,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,60,1
April,2,3,61,1
April,2,1,60,1
April,2,5,61,1
April,2,3,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,5,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,3,7,60,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,2,2,20,1
April,2,2,20,1
April,1,3,60,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,2,2,20,1
April,1,1,60,1
April,2,4,60,1
April,2,6,60,1
April,2,1,60,1
April,2,2,20,1
April,2,4,60,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,6,60,1
April,2,2,20,1
April,3,3,60,1
April,2,2,20,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,2,20,1
April,2,3,60,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,1,4,62,1
April,2,6,60,1
April,2,2,20,1
April,2,1,60,1
April,2,2,20,1
April,2,2,20,1
April,2,7,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,1,1,60,1
April,2,5,62,1
April,2,1,60,1
April,1,3,62,1
April,2,3,60,1
April,2,3,61,1
April,2,3,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,3,7,62,1
April,2,1,60,1
April,1,5,62,1
April,1,1,61,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,3,1,62,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,3,1,60,1
April,2,2,20,1
April,2,2,20,1
April,2,7,62,1
April,3,1,60,1
April,2,2,20,1
April,2,1,60,1
April,3,3,62,1
April,2,2,20,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,6,60,1
April,2,2,20,1
April,2,3,60,1
April,2,1,60,1
April,3,3,60,1
April,2,3,60,1
April,2,1,60,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,2,20,1
April,1,1,60,1
April,2,7,20,1
April,1,1,60,1
April,2,3,60,1
April,2,3,62,1
April,2,4,60,1
April,3,2,20,1
April,2,1,60,1
April,2,1,60,1
April,2,4,60,1
April,2,1,60,1
April,2,1,60,1
April,2,2,20,1
April,2,2,20,1
April,1,3,60,1
April,2,1,60,1
April,2,2,20,1
April,2,3,60,1
April,2,2,20,1
April,2,3,60,1
April,2,2,20,1
April,2,7,61,1
April,2,3,20,1
April,2,1,60,1
April,1,1,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,61,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,5,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,61,1
April,2,3,60,1
April,2,3,60,1
April,2,1,60,1
April,2,7,20,1
April,2,7,60,1
April,1,5,60,1
April,2,1,60,1
April,2,3,60,1
April,3,3,61,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,7,62,1
April,2,3,61,1
April,2,3,20,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,61,1
April,1,1,60,1
April,2,1,60,1
April,3,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,7,61,1
April,1,1,60,1
April,2,1,60,1
April,1,5,61,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,62,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,61,1
April,1,1,60,1
April,2,3,60,1
April,2,1,61,1
April,2,1,60,1
April,2,3,20,1
April,2,1,60,1
April,2,7,62,1
April,2,3,60,1
April,1,1,60,1
April,2,7,60,1
April,1,3,20,1
April,2,1,60,1
April,3,1,60,1
April,2,3,60,1
April,2,7,60,1
April,2,1,61,1
April,2,5,62,1
April,2,1,60,1
April,2,1,60,1
April,2,1,20,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,60,1
April,1,1,60,1
April,2,1,60,1
April,3,1,60,1
April,1,5,60,1
April,2,7,62,1
April,2,7,62,1
April,2,1,60,1
April,2,7,62,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,5,62,1
April,1,1,60,1
April,1,1,60,1
April,1,3,62,1
April,3,7,62,1
April,2,5,62,1
April,2,7,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,61,1
April,1,3,60,1
April,2,1,60,1
April,3,1,60,1
April,2,1,60,1
April,3,3,62,1
April,2,1,60,1
April,2,1,62,1
April,2,1,60,1
April,2,1,20,1
April,1,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,5,60,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,20,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,62,1
April,1,1,60,1
April,2,3,60,1
April,2,5,20,1
April,2,1,60,1
April,2,1,60,1
April,2,3,61,1
April,2,1,60,1
April,2,1,60,1
April,2,7,20,1
April,2,1,20,1
April,2,1,60,1
April,2,3,62,1
April,2,3,60,1
April,2,3,61,1
April,2,1,60,1
April,2,1,60,1
April,2,7,62,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,1,5,60,1
April,2,3,62,1
April,2,1,60,1
April,3,7,20,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,62,1
April,2,3,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,61,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,2,7,61,1
April,1,3,60,1
April,2,5,60,1
April,2,1,60,1
April,2,5,62,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,3,1,60,1
April,2,3,60,1
April,2,7,60,1
April,1,1,60,1
April,2,3,62,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,61,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,5,60,1
April,1,1,60,1
April,2,1,60,1
April,2,3,62,1
April,3,1,60,1
April,2,1,60,1
April,2,7,60,1
April,3,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,7,60,1
April,1,3,62,1
April,2,3,60,1
April,2,1,20,1
April,2,1,60,1
April,2,1,60,1
April,2,5,61,1
April,2,1,60,1
April,2,7,60,1
April,2,3,60,1
April,2,2,20,1
April,2,1,60,1
April,2,2,20,1
April,3,2,20,1
April,2,1,61,1
April,2,2,20,1
April,2,1,60,1
April,3,6,62,1
April,2,3,60,1
April,2,2,20,1
April,3,6,62,1
April,2,2,20,1
April,2,1,60,1
April,2,1,60,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,7,62,1
April,2,2,20,1
April,3,2,20,1
April,2,2,20,1
April,2,3,60,1
April,2,1,60,1
April,2,2,20,1
April,2,7,60,1
April,2,1,60,1
April,2,2,20,1
April,2,1,60,1
April,2,4,60,1
April,2,3,62,1
April,1,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,2,20,1
April,1,1,61,1
April,2,3,60,1
April,2,3,60,1
April,2,1,60,1
April,1,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,5,62,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,3,1,60,1
April,2,1,61,1
April,2,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,3,1,60,1
April,2,1,60,1
April,2,7,60,1
April,2,5,61,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,2,7,62,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,1,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,3,60,1
April,2,5,60,1
April,2,1,62,1
April,2,1,60,1
April,2,1,61,1
April,2,3,60,1
April,3,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,2,20,1
April,2,1,60,1
April,2,3,61,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,3,1,60,1
April,2,1,60,1
April,2,2,20,1
April,2,4,62,1
April,2,7,62,1
April,2,7,60,1
April,2,2,20,1
April,2,1,20,1
April,2,5,60,1
April,2,1,60,1
April,2,1,60,1
April,2,2,20,1
April,2,3,60,1
April,3,1,60,1
April,2,1,60,1
April,2,2,20,1
April,2,1,60,1
April,2,2,20,1
April,2,2,20,1
April,3,4,62,1
April,1,1,60,1
April,2,2,20,1
April,2,3,60,1
April,2,1,60,1
April,3,1,60,1
April,2,3,60,1
April,2,2,20,1
April,2,1,60,1
April,2,2,20,1
April,2,1,60,1
April,3,1,60,1
April,2,6,60,1
April,2,2,20,1
April,2,2,20,1
April,2,2,20,1
April,2,1,60,1
April,2,1,60,1
April,2,2,20,1
April,2,3,60,1
April,2,1,61,1
April,2,3,60,1
April,2,5,60,1
April,2,4,62,1
April,2,1,60,1
April,2,1,60,1
April,2,5,61,1
April,2,2,20,1
April,1,5,62,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,3,3,62,1
April,1,1,60,1
April,2,1,60,1
April,2,5,60,1
April,2,7,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,3,60,1
April,2,3,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,61,1
April,2,1,60,1
April,2,1,60,1
April,1,5,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,2,1,60,1
April,1,1,20,1
April,2,3,60,1
April,2,1,60,1
May,2,3,60,1
May,3,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,61,1
May,1,1,60,1
May,2,3,60,1
May,2,5,60,1
May,2,1,60,1
May,3,1,60,1
May,2,1,60,1
May,3,1,20,1
May,1,3,60,1
May,1,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,1,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,1,3,60,1
May,2,1,60,1
May,1,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,3,62,1
May,2,1,62,1
May,2,1,60,1
May,2,1,60,1
May,2,5,60,1
May,1,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,61,1
May,2,3,60,1
May,1,1,60,1
May,2,3,60,1
May,2,1,60,1
May,1,1,60,1
May,2,1,60,1
May,1,7,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,5,60,1
May,2,1,60,1
May,2,5,62,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,20,1
May,2,5,62,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,1,7,60,1
May,2,1,60,1
May,2,1,61,1
May,2,1,60,1
May,2,5,62,1
May,2,3,60,1
May,2,5,61,1
May,2,1,61,1
May,1,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,62,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,3,1,60,1
May,2,7,61,1
May,2,1,60,1
May,3,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,3,62,1
May,3,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,7,60,1
May,2,1,60,1
May,2,7,60,1
May,1,1,60,1
May,2,3,60,1
May,2,1,60,1
May,1,1,60,1
May,2,1,60,1
May,1,1,62,1
May,2,5,61,1
May,2,1,60,1
May,2,7,61,1
May,2,1,60,1
May,1,1,60,1
May,3,7,62,1
May,3,5,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,3,60,1
May,2,1,61,1
May,3,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,3,7,61,1
May,2,1,60,1
May,2,3,60,1
May,2,7,60,1
May,2,3,60,1
May,1,1,60,1
May,1,3,60,1
May,1,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,5,62,1
May,2,1,61,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,61,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,61,1
May,2,1,60,1
May,2,1,60,1
May,3,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,3,60,1
May,2,5,62,1
May,2,1,60,1
May,2,1,60,1
May,2,7,60,1
May,2,7,60,1
May,1,1,60,1
May,2,1,60,1
May,2,1,60,1
May,1,7,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,7,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,5,62,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,1,7,60,1
May,2,1,60,1
May,1,5,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,20,1
May,2,5,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,1,3,60,1
May,2,3,60,1
May,3,1,60,1
May,2,5,60,1
May,2,3,60,1
May,2,1,60,1
May,1,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,61,1
May,2,1,60,1
May,2,3,62,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,7,62,1
May,2,3,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,1,1,60,1
May,2,1,60,1
May,2,7,61,1
May,2,1,62,1
May,1,1,60,1
May,3,3,62,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,3,1,60,1
May,2,3,20,1
May,2,5,60,1
May,1,1,60,1
May,2,1,60,1
May,2,7,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,1,5,61,1
May,3,3,62,1
May,2,1,60,1
May,2,1,60,1
May,2,5,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,3,1,60,1
May,2,1,61,1
May,1,5,60,1
May,2,1,60,1
May,1,1,60,1
May,2,1,60,1
May,3,3,60,1
May,2,1,60,1
May,2,3,61,1
May,2,7,60,1
May,2,1,60,1
May,2,7,62,1
May,1,7,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,3,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,3,60,1
May,3,5,62,1
May,2,1,60,1
May,2,3,60,1
May,1,5,62,1
May,2,1,20,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,3,1,62,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,3,60,1
May,2,3,60,1
May,2,3,62,1
May,2,1,60,1
May,2,5,60,1
May,2,1,60,1
May,1,7,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,60,1
May,2,3,60,1
May,2,1,60,1
May,1,3,60,1
May,3,1,60,1
May,2,3,60,1
May,3,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,3,61,1
May,2,7,62,1
May,2,1,60,1
May,2,1,60,1
May,1,1,60,1
May,3,6,62,1
May,2,2,20,1
May,2,1,60,1
May,2,2,20,1
May,3,2,20,1
May,2,2,20,1
May,2,1,60,1
May,2,2,20,1
May,2,2,20,1
May,2,1,60,1
May,1,3,60,1
May,2,1,60,1
May,2,2,20,1
May,2,1,60,1
May,2,1,60,1
May,2,2,20,1
May,2,2,20,1
May,1,1,60,1
May,2,1,60,1
May,2,5,60,1
May,2,2,20,1
May,2,1,60,1
May,3,2,20,1
May,2,2,20,1
May,2,2,20,1
May,2,2,20,1
May,2,3,20,1
May,2,1,60,1
May,2,2,20,1
May,2,2,20,1
May,1,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,2,20,1
May,2,2,20,1
May,2,2,20,1
May,2,4,60,1
May,2,2,20,1
May,2,1,20,1
May,2,7,62,1
May,2,1,60,1
May,2,7,62,1
May,2,1,60,1
May,2,1,62,1
May,2,3,60,1
May,1,1,62,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,7,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,2,1,60,1
May,3,3,60,1
May,2,1,60,1
May,2,3,60,1
May,2,1,60,1
May,3,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,7,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,3,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,7,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,1,60,1
May,2,2,20,1
May,2,1,60,1
